Code,Link,Date Of Issue,Department,Title,Meant For,PDF Filename,S3 URL,Extraction Timestamp,Update Timestamp,Verification Timestamp
RBI/2024-2025/95DoR.RET.REC.52/12.01.001/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/maintenance-of-cash-reserve-ratio-crr-,"Dec 06, 2024",Department of Regulation,Maintenance of Cash Reserve Ratio (CRR),All Banks,Maintenance_of_Cash_Reserve_Ratio_CRR_20250108030752.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Maintenance_of_Cash_Reserve_Ratio_CRR_20250108030752.pdf,2025-01-08T03:07:58.075076,,
RBI/2024-25/94DoR.SPE.REC.No.51/13.03.00/2024-2025,https://website.rbi.org.in/web/rbi/-/notifications/interest-rates-on-foreign-currency-non-resident-accounts-banks-fcnr-b-deposits,"Dec 06, 2024",Department of Regulation,Interest Rates on Foreign Currency (Non-resident) Accounts (Banks) [FCNR(B)] Deposits,All Scheduled Commercial Banks (including Regional Rural Banks) All Small Finance Banks All Local Area Banks All Payments Banks All Primary (Urban) Co-operative Banks/ DCCBs /State Cooperative Banks,Interest_Rates_on_Foreign_Currency_Non_resident_Ac_20250108030758.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Interest_Rates_on_Foreign_Currency_Non_resident_Ac_20250108030758.pdf,2025-01-08T03:08:05.841638,,
RBI/2024-2025/93CO.DPSS.POLC.No.S908/02-14-003/2024-25,https://website.rbi.org.in/web/rbi/-/amendment-to-framework-for-facilitating-small-value-digital-payments-in-offline-mode,"Dec 04, 2024",Department of Payment and Settlement Systems,Amendment to Framework for Facilitating Small Value Digital Payments in Offline Mode,The Chairman / Managing Director / Chief Executive Officer Authorised Payment System Operators and Participants (Banks and Non-banks),Amendment_to_Framework_for_Facilitating_Small_Valu_20250108030805.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Amendment_to_Framework_for_Facilitating_Small_Valu_20250108030805.pdf,2025-01-08T03:08:11.755743,,
RBI/2024-2025/92DOR. AML.REC.50 /14.06.001/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/implementation-of-section-51a-of-uapa-1967-updates-to-unsc-s-1267/-1989-isil-da-esh-al-qaida-sanctions-list-amendments-in-03-entries,"Dec 04, 2024",Department of Regulation,"Implementation of Section 51A of UAPA,1967: Updates to UNSC’s 1267/ 1989 ISIL (Da'esh) & Al-Qaida Sanctions List: Amendments in 03 Entries",The Chairpersons/ CEOs of all the Regulated Entities,Implementation_of_Section_51A_of_UAPA1967_Updates__20250108030811.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Implementation_of_Section_51A_of_UAPA1967_Updates__20250108030811.pdf,2025-01-08T03:08:17.407204,,
RBI/2024-25/91DoS.CO.PPG.SEC.12/11.01.005/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/inoperative-accounts-/-unclaimed-deposits-in-banks,"Dec 02, 2024",Department of Supervision,Inoperative Accounts / Unclaimed Deposits in banks,The Chairman / Managing Director / Chief Executive Officer All Commercial Banks (excluding Regional Rural banks),Inoperative_Accounts__Unclaimed_Deposits_in_banks_20250108030817.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Inoperative_Accounts__Unclaimed_Deposits_in_banks_20250108030817.pdf,2025-01-08T03:08:23.661846,,
,https://website.rbi.org.in/web/rbi/-/notifications/foreign-exchange-management-foreign-currency-accounts-by-a-person-resident-in-india-fourth-amendment-regulations-2024,"Nov 19, 2024",Foreign Exchange Department,"Foreign Exchange Management (Foreign Currency Accounts by a Person Resident in India) (Fourth Amendment) Regulations, 2024",,Foreign_Exchange_Management_Foreign_Currency_Accou_20250108030823.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Foreign_Exchange_Management_Foreign_Currency_Accou_20250108030823.pdf,2025-01-08T03:08:31.493586,,
RBI/2024-25/90 A.P. (DIR Series) Circular No. 19,https://website.rbi.org.in/web/rbi/-/notifications/operational-framework-for-reclassification-of-foreign-portfolio-investment-to-foreign-direct-investment-fdi-,"Nov 11, 2024",Foreign Exchange Department,Operational framework for reclassification of Foreign Portfolio Investment to Foreign Direct Investment (FDI),All Category – I Authorised Dealer Banks,Operational_framework_for_reclassification_of_Fore_20250108030831.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Operational_framework_for_reclassification_of_Fore_20250108030831.pdf,2025-01-08T03:08:37.016331,,
RBI/2024-25/89 FMRD.MIOD.07/02.05.002/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/reporting-of-foreign-exchange-transactions-to-trade-repository,"Nov 08, 2024",Financial Markets Regulation Department,Reporting of Foreign Exchange Transactions to Trade Repository,All Authorised Dealers,Reporting_of_Foreign_Exchange_Transactions_to_Trad_20250108030837.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Reporting_of_Foreign_Exchange_Transactions_to_Trad_20250108030837.pdf,2025-01-08T03:08:42.835468,,
RBI/2024-25/88 FMRD.FMD.No. 06/14.01.006/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/fully-accessible-route-for-investment-by-non-residents-in-government-securities-inclusion-of-sovereign-green-bonds,"Nov 07, 2024",Financial Markets Regulation Department,‘Fully Accessible Route’ for Investment by Non-residents in Government Securities – Inclusion of Sovereign Green Bonds,All participants in Government Securities market,Fully_Accessible_Route_for_Investment_by_Non_resid_20250108030842.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Fully_Accessible_Route_for_Investment_by_Non_resid_20250108030842.pdf,2025-01-08T03:08:50.038649,,
RBI/2024-2025/87DOR.AML.REC. 49 /14.01.001/2024-25,https://website.rbi.org.in/web/rbi/-/amendment-to-the-master-direction-know-your-customer-kyc-direction-2016,"Nov 06, 2024",Department of Regulation,"Amendment to the Master Direction - Know Your Customer (KYC) Direction, 2016",All the Regulated Entities,Amendment_to_the_Master_Direction___Know_Your_Cust_20250108030850.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Amendment_to_the_Master_Direction___Know_Your_Cust_20250108030850.pdf,2025-01-08T03:08:56.685011,,
RBI/2024-2025/86DCM (NPD) No. S2193/ 09.45.000/ 2024-25,https://website.rbi.org.in/web/rbi/-/notifications/note-sorting-machines-standards-issued-by-the-bureau-of-indian-standards,"Oct 30, 2024",Department of Currency Management,Note Sorting Machines: Standards issued by the Bureau of Indian Standards,The Chairman/ Managing Director/ Chief Executive Officer All Banks,Note_Sorting_Machines_Standards_issued_by_the_Bure_20250108030900.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Note_Sorting_Machines_Standards_issued_by_the_Bure_20250108030900.pdf,2025-01-08T03:09:08.059630,,
RBI/2024-2025/85DPSS.CO.RLVPD.No.S789/02.07.038/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/directions-for-central-counterparties-ccps-,"Oct 28, 2024",Department of Payment and Settlement Systems,Directions for Central Counterparties (CCPs),Central Counterparties authorised by RBI / Central Counterparties seeking authorisation from RBI / Foreign Central Counterparties seeking recognition from RBI,Directions_for_Central_Counterparties_CCPs_20250108030908.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Directions_for_Central_Counterparties_CCPs_20250108030908.pdf,2025-01-08T03:09:14.355181,,
RBI/2024-25/84DOR.AML.REC.48/14.06.001/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/designation-of-one-organisation-under-section-35-1-a-and-2-1-m-of-the-unlawful-activities-prevention-act-1967-and-its-listing-in-the-first-schedule-of-the-act,"Oct 19, 2024",Department of Regulation,"Designation of one organisation under Section 35(1) (a) and 2(1) (m) of the Unlawful Activities (Prevention) Act,1967 and its listing in the First Schedule of the Act- Reg.",The Chairpersons/ CEOs of all the Regulated Entities,Designation_of_one_organisation_under_Section_351__20250108030914.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Designation_of_one_organisation_under_Section_351__20250108030914.pdf,2025-01-08T03:09:20.601260,,
RBI/FMRD/2024-25/124FMRD.MIOD.No.04/11.01.041/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/reserve-bank-of-india-access-criteria-for-nds-om-directions-2024,"Oct 18, 2024",Financial Markets Regulation Department,"Reserve Bank of India (Access Criteria for NDS-OM) Directions, 2024",All participants in Government Securities market,Reserve_Bank_of_India_Access_Criteria_for_NDS_OM_D_20250108030920.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Reserve_Bank_of_India_Access_Criteria_for_NDS_OM_D_20250108030920.pdf,2025-01-08T03:09:27.052090,,
RBI/2024-25/83 CO.DPSS.POLC.No. S-708 / 02-12-004 / 2024-25,https://website.rbi.org.in/web/rbi/-/notifications/facilitating-accessibility-to-digital-payment-systems-for-persons-with-disabilities-guidelines,"Oct 11, 2024",Department of Payment and Settlement Systems,Facilitating accessibility to digital payment systems for Persons with Disabilities - Guidelines,All Payment System Participants,Facilitating_accessibility_to_digital_payment_syst_20250108030927.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Facilitating_accessibility_to_digital_payment_syst_20250108030927.pdf,2025-01-08T03:09:32.611976,,
RBI/2024-25/82 DoR.FIN.REC.No. 46/26.03.001/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/submission-of-information-to-credit-information-companies-cics-by-arcs,"Oct 10, 2024",Department of Regulation,Submission of information to Credit Information Companies (CICs) by ARCs,All Asset Reconstruction Companies (ARCs),Submission_of_information_to_Credit_Information_Co_20250108030932.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Submission_of_information_to_Credit_Information_Co_20250108030932.pdf,2025-01-08T03:09:37.905651,,
RBI/2024-25/81 DoR.FIN.REC. 47/20.16.042/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/implementation-of-credit-information-reporting-mechanism-subsequent-to-cancellation-of-licence-or-certificate-of-registration-1,"Oct 10, 2024",Department of Regulation,Implementation of Credit Information Reporting Mechanism subsequent to cancellation of licence or Certificate of Registration,"All Commercial Banks (including Small Finance Banks, Local Area Banks and Regional Rural Banks, and excluding Payments Banks) All Primary (Urban) Co-operative Banks/ State Co-operative Banks/ Central Co-operative Banks All Non-Banking Financial Companies (including Housing Finance Companies) All Asset Reconstruction Companies All Credit Information Companies",Implementation_of_Credit_Information_Reporting_Mec_20250108030937.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Implementation_of_Credit_Information_Reporting_Mec_20250108030937.pdf,2025-01-08T03:09:46.366925,,
RBI/2024-25/80 DOR.STR.REC.45/04.02.001/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/interest-equalization-scheme-ies-on-pre-and-post-shipment-rupee-export-credit-3,"Oct 09, 2024",Department of Regulation,Interest Equalization Scheme (IES) on Pre and Post Shipment Rupee Export Credit,"All Scheduled Commercial Banks (excluding RRBs), Primary (Urban) Cooperative Banks & State Cooperative Banks (scheduled banks having AD category-I license), and Exim Bank",Interest_Equalization_Scheme_IES_on_Pre_and_Post_S_20250108030946.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Interest_Equalization_Scheme_IES_on_Pre_and_Post_S_20250108030946.pdf,2025-01-08T03:09:52.236461,,
RBI/2024-25/79 A.P. (DIR Series) Circular No. 18,https://website.rbi.org.in/web/rbi/-/notifications/due-diligence-in-relation-to-non-resident-guarantees-availed-by-persons-resident-in-india,"Oct 04, 2024",Foreign Exchange Department,Due diligence in relation to non-resident guarantees availed by persons resident in India,,Due_diligence_in_relation_to_non_resident_guarante_20250108030952.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Due_diligence_in_relation_to_non_resident_guarante_20250108030952.pdf,2025-01-08T03:10:00.260258,,
RBI/FED/2024-25/78A.P. (DIR Series) Circular. No.17/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/directions-compounding-of-contraventions-under-fema-1999,"Oct 01, 2024",Foreign Exchange Department,"Directions - Compounding of Contraventions under FEMA, 1999",All Authorised Dealer Category – I banks and Authorised banks,Directions___Compounding_of_Contraventions_under_F_20250108031000.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Directions___Compounding_of_Contraventions_under_F_20250108031000.pdf,2025-01-08T03:10:07.504067,,
RBI/2024-25/77DoS.CO.PPG.SEC.10/11.01.005/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/gold-loans-irregular-practices-observed-in-grant-of-loans-against-pledge-of-gold-ornaments-and-jewellery,"Sep 30, 2024",Department of Supervision,Gold loans - Irregular practices observed in grant of loans against pledge of gold ornaments and jewellery,All Commercial Banks (including Small Finance Banks but excluding Regional Rural Banks and Payments Banks) All Primary (Urban) Co-operative Banks All Non-Banking Financial Companies,Gold_loans___Irregular_practices_observed_in_grant_20250108031009.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Gold_loans___Irregular_practices_observed_in_grant_20250108031009.pdf,2025-01-08T03:10:16.263955,,
RBI/2024-25/76 DOR.STR.REC.44/04.02.001/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/interest-equalization-scheme-ies-on-pre-and-post-shipment-rupee-export-credit-2,"Sep 20, 2024",Department of Regulation,Interest Equalization Scheme (IES) on Pre and Post Shipment Rupee Export Credit,"All Scheduled Commercial Banks (excluding RRBs), Primary (Urban) Cooperative Banks & State Cooperative Banks (scheduled banks having AD category-I license), and Exim Bank",Interest_Equalization_Scheme_IES_on_Pre_and_Post_S_20250108031016.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Interest_Equalization_Scheme_IES_on_Pre_and_Post_S_20250108031016.pdf,2025-01-08T03:10:25.922194,,
RBI/2024-25/75 DOR.AML.REC.43/14.06.001/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/implementation-of-section-12a-of-the-weapons-of-mass-destruction-and-their-delivery-systems-prohibition-of-unlawful-activities-act-2005-designated-list-amendments-2,"Sep 19, 2024",Department of Regulation,"Implementation of Section 12A of the Weapons of Mass Destruction and their Delivery Systems (Prohibition of Unlawful Activities) Act, 2005: Designated List (Amendments)",The Chairpersons/ CEOs of all the Regulated Entities,Implementation_of_Section_12A_of_the_Weapons_of_Ma_20250108031025.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Implementation_of_Section_12A_of_the_Weapons_of_Ma_20250108031025.pdf,2025-01-08T03:10:32.649673,,
RBI/2024-25/74 A.P. (DIR Series) Circular No. 16,https://website.rbi.org.in/web/rbi/-/notifications/liberalised-remittance-scheme-lrs-for-resident-individuals-discontinuation-of-reporting-of-monthly-return,"Sep 06, 2024",Foreign Exchange Department,Liberalised Remittance Scheme (LRS) for Resident Individuals- Discontinuation of Reporting of monthly return,,Liberalised_Remittance_Scheme_LRS_for_Resident_Ind_20250108031032.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Liberalised_Remittance_Scheme_LRS_for_Resident_Ind_20250108031032.pdf,2025-01-08T03:10:41.915986,,
RBI/2024-25/73 CO.FIDD.PCD.BC.No.9/04-04-003/2024-25,https://website.rbi.org.in/web/rbi/-/review-of-extant-instructions-withdrawal-of-circulars,"Sep 02, 2024",Financial Inclusion and Development Department,Review of Extant Instructions – Withdrawal of Circulars,All Scheduled Commercial Banks,Review_of_Extant_Instructions__Withdrawal_of_Circu_20250108031041.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Review_of_Extant_Instructions__Withdrawal_of_Circu_20250108031041.pdf,2025-01-08T03:10:50.156121,,
RBI/2024-25/72CO.FMRD.FMIA.No.S242/11-01-051/2024-2025,https://website.rbi.org.in/web/rbi/-/notifications/scheme-for-trading-and-settlement-of-sovereign-green-bonds-in-the-international-financial-services-centre-in-india,"Aug 29, 2024",Financial Markets Regulation Department,Scheme for Trading and Settlement of Sovereign Green Bonds in the International Financial Services Centre in India,All Eligible Market Participants,Scheme_for_Trading_and_Settlement_of_Sovereign_Gre_20250108031050.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Scheme_for_Trading_and_Settlement_of_Sovereign_Gre_20250108031050.pdf,2025-01-08T03:10:56.688419,,
RBI/2024-25/71 DOR.STR.REC.41/04.02.001/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/interest-equalization-scheme-ies-on-pre-and-post-shipment-rupee-export-credit-1,"Aug 29, 2024",Department of Regulation,Interest Equalization Scheme (IES) on Pre and Post Shipment Rupee Export Credit,"All Scheduled Commercial Banks (excluding RRBs), Primary (Urban) Cooperative Banks & State Cooperative Banks (scheduled banks having AD category-I license), and Exim Bank",Interest_Equalization_Scheme_IES_on_Pre_and_Post_S_20250108031056.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Interest_Equalization_Scheme_IES_on_Pre_and_Post_S_20250108031056.pdf,2025-01-08T03:11:02.997595,,
RBI/2024-2025/70DOR.AML.REC.42/14.06.001/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/implementation-of-section-51a-of-uapa-1967-updates-to-unsc-s-1267/-1989-isil-da-esh-al-qaida-sanctions-list-amendments-in-01-entry-1,"Aug 27, 2024",Department of Regulation,"Implementation of Section 51A of UAPA, 1967: Updates to UNSC’s 1267/ 1989 ISIL (Da'esh) & Al-Qaida Sanctions List: Amendments in 01 Entry",The Chairpersons/ CEOs of all the Regulated Entities,Implementation_of_Section_51A_of_UAPA_1967_Updates_20250108031102.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Implementation_of_Section_51A_of_UAPA_1967_Updates_20250108031102.pdf,2025-01-08T03:11:10.983139,,
RBI/2024-25/69 DoR.RET.REC.40/12.07.160/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/cessation-of-krung-thai-bank-public-company-limited-as-a-banking-company-within-the-meaning-of-sub-section-2-of-section-36-a-of-the-banking-regulation-act-1949,"Aug 22, 2024",Department of Regulation,"Cessation of “Krung Thai Bank Public Company Limited” as a banking company within the meaning of sub section (2) of Section 36 (A) of the Banking Regulation Act, 1949",All Commercial and Co-operative Banks,Cessation_of_Krung_Thai_Bank_Public_Company_Limite_20250108031110.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Cessation_of_Krung_Thai_Bank_Public_Company_Limite_20250108031110.pdf,2025-01-08T03:11:18.422470,,
RBI/2024-25/68 DoR.RET.REC.39/12.07.160/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/exclusion-of-krung-thai-bank-public-company-limited-from-the-second-schedule-of-the-reserve-bank-of-india-act-1934,"Aug 22, 2024",Department of Regulation,"Exclusion of “Krung Thai Bank Public Company Limited” from the Second Schedule of the Reserve Bank of India Act, 1934",All Commercial and Co-operative Banks,Exclusion_of_Krung_Thai_Bank_Public_Company_Limite_20250108031118.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Exclusion_of_Krung_Thai_Bank_Public_Company_Limite_20250108031118.pdf,2025-01-08T03:11:24.804804,,
RBI/2024-25/67 DoR.RET.REC.38/12.07.160/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/exclusion-of-credit-suisse-ag-from-the-second-schedule-of-the-reserve-bank-of-india-act-1934,"Aug 22, 2024",Department of Regulation,"Exclusion of “Credit Suisse AG” from the Second Schedule of the Reserve Bank of India Act, 1934",All Commercial and Co-operative Banks,Exclusion_of_Credit_Suisse_AG_from_the_Second_Sche_20250108031131.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Exclusion_of_Credit_Suisse_AG_from_the_Second_Sche_20250108031131.pdf,2025-01-08T03:11:37.859545,,
RBI/2024-25/66 DoR.RET.REC.37/12.07.160/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/cessation-of-credit-suisse-ag-as-a-banking-company-within-the-meaning-of-sub-section-2-of-section-36-a-of-the-banking-regulation-act-1949,"Aug 22, 2024",Department of Regulation,"Cessation of “Credit Suisse AG” as a banking company within the meaning of sub section (2) of Section 36 (A) of the Banking Regulation Act, 1949",All Commercial and Co-operative Banks,Cessation_of_Credit_Suisse_AG_as_a_banking_company_20250108031137.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Cessation_of_Credit_Suisse_AG_as_a_banking_company_20250108031137.pdf,2025-01-08T03:11:43.376862,,
RBI/2024-25/65 DoR.RET.REC.36/12.07.160/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/inclusion-of-ubs-ag-in-the-second-schedule-of-the-reserve-bank-of-india-act-1934,"Aug 22, 2024",Department of Regulation,"Inclusion of “UBS AG” in the Second Schedule of the Reserve Bank of India Act, 1934",All Commercial and Co-operative Banks,Inclusion_of_UBS_AG_in_the_Second_Schedule_of_the__20250108031143.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Inclusion_of_UBS_AG_in_the_Second_Schedule_of_the__20250108031143.pdf,2025-01-08T03:11:48.878038,,
