Title,Date Of Issue,Link,Document Code,Departments,PDF Filename,S3 URL,Extraction Timestamp,Update Timestamp,Verification Timestamp
"Master Direction – Reserve Bank of India (Asset Reconstruction Companies) Directions, 2024","Apr 24, 2024",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-reserve-bank-of-india-asset-reconstruction-companies-directions-2024,RBI/DOR/2024-25/116DoR.FIN.REC.16/26.03.001/2024-25,"Appointment/re-appointment of Director, Managing Director or Chief Executive Officer in Asset Reconstruction Companies",Master_Direction___Reserve_Bank_of_India__Asset_Re,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction___Reserve_Bank_of_India__Asset_Re,2025-01-08 17:17:26,2025-01-08 17:17:26,2025-01-08 17:17:26
"Master Direction on Counterfeit Notes, 2024 – Detection, Reporting and Monitoring","Apr 01, 2024",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-on-counterfeit-notes-2024-detection-reporting-and-monitoring,RBI/DCM/2024-25/115DCM (FNVD)/ G4 / 16.01.05 / 2024-25,The Chairman / Managing Director / Chief Executive OfficerAll Banks,Master_Direction_on_Counterfeit_Notes__2024___Dete,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_on_Counterfeit_Notes__2024___Dete,2025-01-08 17:17:46,2025-01-08 17:17:46,2025-01-08 17:17:46
Master Direction on Penal Provisions in reporting of transactions/ balances at Currency Chests,"Apr 01, 2024",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-on-penal-provisions-in-reporting-of-transactions/-balances-at-currency-chests,RBI/DCM/2024-25/114DCM (CC) No.G-2 /03.35.01/2024-25,The Chairman/ Managing Director/Chief Executive Officer(All banks having Currency Chests),Master_Direction_on_Penal_Provisions_in_reporting_,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_on_Penal_Provisions_in_reporting_,2025-01-08 17:18:16,2025-01-08 17:18:16,2025-01-08 17:18:16
Master Direction on Framework of incentives for Currency Distribution & Exchange Scheme for bank branches including currency chests,"Apr 01, 2024",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-on-framework-of-incentives-for-currency-distribution-exchange-scheme-for-bank-branches-including-currency-chests,RBI/DCM/2024-25/113DCM (CC) No.G-3/03.41.01/2024-25,The Chairman / Managing Director / Chief Executive OfficersAll banks,Master_Direction_on_Framework_of_incentives_for_Cu,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_on_Framework_of_incentives_for_Cu,2025-01-08 17:18:33,2025-01-08 17:18:33,2025-01-08 17:18:33
Master Direction – Scheme of Penalties for bank branches and Currency Chests for deficiency in rendering customer service to the members of public,"Apr 01, 2024",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-scheme-of-penalties-for-bank-branches-and-currency-chests-for-deficiency-in-rendering-customer-service-to-the-members-of-public,RBI/DCM/2024-25/112DCM (CC) No.G-1/03.44.01/2024-25,The Chairman / Managing Director / Chief Executive OfficerAll banks,Master_Direction___Scheme_of_Penalties_for_bank_br,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction___Scheme_of_Penalties_for_bank_br,2025-01-08 17:18:52,2025-01-08 17:18:52,2025-01-08 17:18:52
"Master Direction – Reserve Bank of India (Bharat Bill Payment System) Directions, 2024","Feb 29, 2024",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-reserve-bank-of-india-bharat-bill-payment-system-directions-2024,RBI/DoS. DSG / 2023-24 /111CO.DPSS.POLC.No. S1114 / 02-27-020 / 2023-2024,The Chairman / Managing Director / Chief ExecutiveAll Scheduled Commercial Banks including RRBs /Urban Cooperative Banks / State Cooperative Banks / District Central Cooperative Banks/ NPCI Bharat BillPay Limited / Non-bank Payment System Participants,Master_Direction___Reserve_Bank_of_India__Bharat_B,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction___Reserve_Bank_of_India__Bharat_B,2025-01-08 17:19:18,2025-01-08 17:19:18,2025-01-08 17:19:18
"Master Direction - Amalgamation of Private Sector Banks, Directions, 2016","Apr 21, 2016",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-amalgamation-of-private-sector-banks-directions-2016-10364,RBI/DBR/2015-16/22Master Direction DBR.PSBD.No. 96/16.13.100/2015-16,6. The details of the proposed Chief Executive Officer of the amalgamating company after the amalgamation.,Master_Direction_-_Amalgamation_of_Private_Sector_,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Amalgamation_of_Private_Sector_,2025-01-08 17:23:04,2025-01-08 17:23:04,2025-01-08 17:23:04
"Master Direction - Issue and Pricing of shares by Private Sector Banks, Directions, 2016","Apr 21, 2016",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-issue-and-pricing-of-shares-by-private-sector-banks-directions-2016-10363,RBI/DBR/2015-16/21Master Direction DBR.PSBD.No.95/16.13.100/2015-16,,Master_Direction_-_Issue_and_Pricing_of_shares_by_,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Issue_and_Pricing_of_shares_by_,2025-01-08 17:23:29,2025-01-08 17:23:29,2025-01-08 17:23:29
"Master Direction - Reserve Bank of India (Interest Rate on Deposits) Directions, 2016 (
)","Mar 03, 2016",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-reserve-bank-of-india-interest-rate-on-deposits-directions-2016-updated-as-on-september-16-2022-10296,RBI/DBR/2015-16/19Master Direction DBR. Dir. No.84/13.03.00/2015-16,"(a) Scheduled Commercial Banks shall, at their discretion, allow additional interest of one per cent per annum, over and above the rate of interest mentioned in the schedule of interest rates on savings or a term deposits of bank’s staff and their exclusive associations as well as on deposits of Chairman, Chairman & Managing Director, Executive Director or such other Executives appointed for a fixed tenure, subject to the following conditions:",Master_Direction_-_Reserve_Bank_of_India__Interest,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Reserve_Bank_of_India__Interest,2025-01-08 17:23:55,2025-01-08 17:23:55,2025-01-08 17:23:55
"Master Direction - Reserve Bank of India (Interest Rate on Advances) Directions, 2016 (Updated as on September 12, 2023)","Mar 03, 2016",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-reserve-bank-of-india-interest-rate-on-advances-directions-2016-updated-as-on-june-10-2021-10295,RBI/DBR/2015-16/20Master Direction DBR.Dir.No.85/13.03.00/2015-16,(iii) Advances granted to the Chief Executive Officer / Whole Time Directors.,Master_Direction_-_Reserve_Bank_of_India__Interest,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Reserve_Bank_of_India__Interest,2025-01-08 17:24:18,2025-01-08 17:24:18,2025-01-08 17:24:18
"Master Direction - Know Your Customer (KYC) Direction, 2016 (
)","Feb 25, 2016",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-know-your-customer-kyc-direction-2016-updated-as-on-may-04-2023-lt-span-gt-11566,RBI/DBR/2015-16/18Master Direction DBR.AML.BC.No.81/14.01.001/2015-16,"Chairman, Insurance Regulatory and Development Authority, Hyderabad.",Master_Direction_-_Know_Your_Customer__KYC__Direct,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Know_Your_Customer__KYC__Direct,2025-01-08 17:29:29,2025-01-08 17:29:29,2025-01-08 17:29:29
"Master Direction - Establishment of Branch Office (BO)/ Liaison Office (LO)/ Project Office (PO) or any other place of business in India by foreign entities (Updated as on May 18, 2021)","Jan 04, 2016",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-establishment-of-branch-office-bo-liaison-office-lo-project-office-po-or-any-other-place-of-business-in-india-by-foreign-entities-updated-as-on-may-18-2021-10404,RBI/FED/2015-16/6FED Master Direction No.10/2015-16,,Master_Direction_-_Establishment_of_Branch_Office_,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Establishment_of_Branch_Office_,2025-01-08 17:29:51,2025-01-08 17:29:51,2025-01-08 17:29:51
"Master Direction - Liberalised Remittance Scheme (LRS) (
)","Jan 04, 2016",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-liberalised-remittance-scheme-lrs-updated-as-on-august-24-2022-10192,RBI/FED/2017-18/3FED Master Direction No. 7/2015-16,,Master_Direction_-_Liberalised_Remittance_Scheme__,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Liberalised_Remittance_Scheme__,2025-01-08 17:34:31,2025-01-08 17:34:31,2025-01-08 17:34:31
"Master Direction - Acquisition or Transfer of Immovable Property under Foreign Exchange Management Act, 1999 (Updated as on September 01, 2022)","Jan 04, 2016",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-acquisition-or-transfer-of-immovable-property-under-foreign-exchange-management-act-1999-updated-as-on-september-01-2022-10196,RBI/FED/2015-16/7FED Master Direction No. 12/2015-16,,Master_Direction_-_Acquisition_or_Transfer_of_Immo,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Acquisition_or_Transfer_of_Immo,2025-01-08 17:35:02,2025-01-08 17:35:02,2025-01-08 17:35:02
"Master Direction - Remittance of Assets (Updated as on April 28, 2016)","Jan 04, 2016",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-remittance-of-assets-updated-as-on-april-28-2016-10197,RBI/FED/2015-16/8FED Master Direction No. 13/2015-16,,Master_Direction_-_Remittance_of_Assets__Updated_a,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Remittance_of_Assets__Updated_a,2025-01-08 17:35:22,2025-01-08 17:35:22,2025-01-08 17:35:22
"Master Direction - Reporting under Foreign Exchange Management Act, 1999 (
)","Jan 04, 2016",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-reporting-under-foreign-exchange-management-act-1999-updated-as-on-may-12-2023-lt-span-gt-10202,RBI/FED/2015-16/13FED Master Direction No.18/2015-16,,Master_Direction_-_Reporting_under_Foreign_Exchang,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Reporting_under_Foreign_Exchang,2025-01-08 17:39:41,2025-01-08 17:39:41,2025-01-08 17:39:41
"Master Direction- Compounding of Contraventions under FEMA, 1999 (Updated as on May 24, 2022)","Jan 04, 2016",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-compounding-of-contraventions-under-fema-1999-updated-as-on-may-24-2022-10190,RBI/FED/2015-16/1FED Master Direction No.4/2015-16,,Master_Direction-_Compounding_of_Contraventions_un,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction-_Compounding_of_Contraventions_un,2025-01-08 17:40:43,2025-01-08 17:40:43,2025-01-08 17:40:43
"Master Direction - Miscellaneous (Updated as on November 12, 2018)","Jan 04, 2016",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-miscellaneous-updated-as-on-november-12-2018-10203,RBI/FED/2016-17/14FED Master Direction No. 19/2015-16,"In pursuance of the Hon’ble Supreme Court Judgment dated July 4, 2011, Government of India constituted a Special Investigation Team (SIT) under the Chairmanship of Hon’ble Justice M.B. Shah. In this regard, the Hon’ble Supreme Court has directed that:",Master_Direction_-_Miscellaneous__Updated_as_on_No,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Miscellaneous__Updated_as_on_No,2025-01-08 17:40:55,2025-01-08 17:40:55,2025-01-08 17:40:55
"Master Direction - Opening and Maintenance of Rupee/Foreign Currency Vostro Accounts of Non-resident Exchange Houses (Updated as on December 22, 2022)","Jan 04, 2016",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-opening-and-maintenance-of-rupee-foreign-currency-vostro-accounts-of-non-resident-exchange-houses-updated-as-on-december-22-2022-10205,RBI/FED/2015-16/16FED Master Direction No.2/2015-16,,Master_Direction_-_Opening_and_Maintenance_of_Rupe,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Opening_and_Maintenance_of_Rupe,2025-01-08 17:41:15,2025-01-08 17:41:15,2025-01-08 17:41:15
"Master Direction - Import of Goods and Services (
)","Jan 04, 2016",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-import-of-goods-and-services-updated-as-on-november-21-2022-10201,RBI/FED/2016-17/12FED Master Direction No. 17/2016-17,"(i) AD Category – I bank may accept, in lieu of Exchange Control Copy of Bill of Entry for home consumption, a certificate from the Chief Executive Officer (CEO) or auditor of the company that the goods for which remittance was made have actually been imported into India provided :-",Master_Direction_-_Import_of_Goods_and_Services___,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Import_of_Goods_and_Services___,2025-01-08 17:41:46,2025-01-08 17:41:46,2025-01-08 17:41:46
Master Direction - Borrowing and Lending transactions in Indian Rupee between Persons Resident in India and Non-Resident Indians/ Persons of Indian Origin,"Jan 04, 2016",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-borrowing-and-lending-transactions-in-indian-rupee-between-persons-resident-in-india-and-non-resident-indians-persons-of-indian-origin-10191,RBI/FED/2015-16/2FED Master Direction No. 6/2015-16,,Master_Direction_-_Borrowing_and_Lending_transacti,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Borrowing_and_Lending_transacti,2025-01-08 17:41:59,2025-01-08 17:41:59,2025-01-08 17:41:59
"Master Direction - Other Remittance Facilities (
)","Jan 04, 2016",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-other-remittance-facilities-updated-as-on-november-6-2018-10193,RBI/FED/2015-16/4FED Master Direction No. 8/2015-16,,Master_Direction_-_Other_Remittance_Facilities____,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Other_Remittance_Facilities____,2025-01-08 17:42:53,2025-01-08 17:42:53,2025-01-08 17:42:53
"Master Direction - Deposits and Accounts (Updated as on January 9, 2020)","Jan 04, 2016",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-deposits-and-accounts-updated-as-on-january-9-2020-10198,RBI/FED/2015-16/9FED Master Direction No. 14/2015-16,,Master_Direction_-_Deposits_and_Accounts__Updated_,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Deposits_and_Accounts__Updated_,2025-01-08 17:43:21,2025-01-08 17:43:21,2025-01-08 17:43:21
"Master Direction - Export of Goods and Services (Updated as on March 23, 2016)","Jan 04, 2016",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-export-of-goods-and-services-updated-as-on-march-23-2016-10200-1,RBI/FED/2015-16/11FED Master Direction No. 16/2015-16,"Taking into account the recommendation made by the Technical Committee on Facilities and Services to the Exporters (Chairman: Shri G. Padmanabhan), it has been decided to permit AD banks to factor the export receivables on a non-recourse basis, so as to enable the exporters to improve their cash flow and meet their working capital requirements subject to conditions as under:",Master_Direction_-_Export_of_Goods_and_Services__U,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Export_of_Goods_and_Services__U,2025-01-08 17:43:44,2025-01-08 17:43:44,2025-01-08 17:43:44
"Master Direction - Export of Goods and Services (
)","Jan 04, 2016",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-export-of-goods-and-services-updated-as-on-november-22-2022-10395,RBI/FED/2015-16/11FED Master Direction No. 16/2015-16,,Master_Direction_-_Export_of_Goods_and_Services___,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Export_of_Goods_and_Services___,2025-01-08 17:45:03,2025-01-08 17:45:03,2025-01-08 17:45:03
"Master Direction - Money Changing Activities (
)","Jan 04, 2016",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-money-changing-activities-updated-as-on-march-4-2022-11518,RBI/FED/2015-16/17FED Master Direction No.3/2015-16,,Master_Direction_-_Money_Changing_Activities_____2,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Money_Changing_Activities_____2,2025-01-08 17:45:21,2025-01-08 17:45:21,2025-01-08 17:45:21
Master Direction - Direct Investment by Residents in Joint Venture (JV) / Wholly Owned Subsidiary (WOS) Abroad,"Jan 01, 2016",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-direct-investment-by-residents-in-joint-venture-jv-wholly-owned-subsidiary-wos-abroad-10199,RBI/FED/2015-16/10FED Master Direction No. 15/2015-16,,Master_Direction_-_Direct_Investment_by_Residents_,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Direct_Investment_by_Residents_,2025-01-08 17:45:39,2025-01-08 17:45:39,2025-01-08 17:45:39
"Prior Approval for acquisition of shares or voting rights in Private Sector Banks: Directions, 2015","Nov 19, 2015",https://website.rbi.org.in/web/rbi/-/notifications/prior-approval-for-acquisition-of-shares-or-voting-rights-in-private-sector-banks-directions-2015-10126,RBI/2015-16/240Master Direction No.DBR.PSBD.No.56/16.13.100/2015-16,,Prior_Approval_for_acquisition_of_shares_or_voting,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Prior_Approval_for_acquisition_of_shares_or_voting,2025-01-08 17:45:58,2025-01-08 17:45:58,2025-01-08 17:45:58
"Gold Monetization Scheme, 2015 (Updated as on August 04, 2022)","Oct 22, 2015",https://website.rbi.org.in/web/rbi/-/notifications/gold-monetization-scheme-2015-updated-as-on-august-04-2022-10084,RBI/2015-16/211Master Direction No.DBR.IBD.No.45/23.67.003/2015-16,,Gold_Monetization_Scheme__2015__Updated_as_on_Augu,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Gold_Monetization_Scheme__2015__Updated_as_on_Augu,2025-01-08 17:46:45,2025-01-08 17:46:45,2025-01-08 17:46:45
Master Direction on Outsourcing of Information Technology Services,"Apr 10, 2023",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-on-outsourcing-of-information-technology-services-12486,RBI/2023-24/102DoS.CO.CSITEG/SEC.1/31.01.015/2023-24,"The Chairman/Managing Director/Chief Executive OfficerScheduled Commercial Banks (excluding Regional Rural Banks);Local Area Banks; Small Finance Banks; Payments Banks;Primary (Urban) Co-operative Banks;Non-Banking Financial Companies;Credit Information Companies; andAll India Financial Institutions (EXIM Bank, NABARD, NaBFID, NHB and SIDBI)",Master_Direction_on_Outsourcing_of_Information_Tec,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_on_Outsourcing_of_Information_Tec,2025-01-08 17:47:26,2025-01-08 17:47:26,2025-01-08 17:47:26
Master Direction - Scheme of Penalties for bank branches and Currency Chests for deficiency in rendering customer service to the members of public,"Apr 03, 2023",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-scheme-of-penalties-for-bank-branches-and-currency-chests-for-deficiency-in-rendering-customer-service-to-the-members-of-public-12482,RBI/2023-24/100DCM (CC) No.G-3/03.44.01/2023-24,The Chairman/Managing Director/Chief Executive OfficersAll banks,Master_Direction_-_Scheme_of_Penalties_for_bank_br,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Scheme_of_Penalties_for_bank_br,2025-01-08 17:47:46,2025-01-08 17:47:46,2025-01-08 17:47:46
"Master Direction on Counterfeit Notes, 2023 - Detection, Reporting and Monitoring","Apr 03, 2023",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-on-counterfeit-notes-2023-detection-reporting-and-monitoring-12480,RBI/2023-24/98DCM (FNVD)/G-1/16.01.05/2023-24,The Chairman/ Managing Director /Chief Executive OfficerAll Banks,Master_Direction_on_Counterfeit_Notes__2023_-_Dete,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_on_Counterfeit_Notes__2023_-_Dete,2025-01-08 17:48:06,2025-01-08 17:48:06,2025-01-08 17:48:06
"Master Direction - Reserve Bank of India (Classification, Valuation and Operation of Investment Portfolio of Primary (Urban) Co-operative Banks) Directions, 2023","Apr 01, 2023",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-reserve-bank-of-india-classification-valuation-and-operation-of-investment-portfolio-of-primary-urban-co-operative-banks-directions-2023-12473,RBI/2023-24/96DOR.MRG.REC.01/00-00-011/2023-24,,Master_Direction_-_Reserve_Bank_of_India__Classifi,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Reserve_Bank_of_India__Classifi,2025-01-08 17:48:28,2025-01-08 17:48:28,2025-01-08 17:48:28
"Master Direction - Foreign Exchange Management (Hedging of Commodity Price Risk and Freight Risk in Overseas Markets) Directions, 2022 (
)","Dec 12, 2022",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-foreign-exchange-management-hedging-of-commodity-price-risk-and-freight-risk-in-overseas-markets-directions-2022-12427,RBI/2022-2023/94A. P. (DIR Series) Circular No. 20,,Master_Direction_-_Foreign_Exchange_Management__He,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Foreign_Exchange_Management__He,2025-01-08 17:48:49,2025-01-08 17:48:49,2025-01-08 17:48:49
"Master Direction - Reserve Bank of India (Variation Margin) Directions, 2022","Jun 01, 2022",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-reserve-bank-of-india-variation-margin-directions-2022-12328,RBI/2022-23/93FMRD.DIRD.02/14.01.023/2022-23,,Master_Direction_-_Reserve_Bank_of_India__Variatio,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Reserve_Bank_of_India__Variatio,2025-01-08 17:49:24,2025-01-08 17:49:24,2025-01-08 17:49:24
Master Direction on Penal Provisions in deficiencies in reporting of transactions/ balances at Currency Chests,"Apr 01, 2022",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-on-penal-provisions-in-deficiencies-in-reporting-of-transactions-balances-at-currency-chests-12270,RBI/2022-23/91DCM (CC) No.G-4/03.35.01/2022-23,The Chairman/ Managing Director/Chief Executive Officer(All banks having Currency Chests),Master_Direction_on_Penal_Provisions_in_deficienci,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_on_Penal_Provisions_in_deficienci,2025-01-08 17:49:40,2025-01-08 17:49:40,2025-01-08 17:49:40
