Title,Date Of Issue,Link,Code,PDF Link,PDF Filename,S3 URL,Extraction Timestamp,Update Timestamp,Verification Timestamp
Amendment to Framework for Facilitating Small Value Digital Payments in Offline Mode,"Dec 04, 2024",https://website.rbi.org.in/web/rbi/-/amendment-to-framework-for-facilitating-small-value-digital-payments-in-offline-mode,RBI/2024-25/93 CO.DPSS.POLC.No.S908/02-14-003/2024-25,https://website.rbi.org.in/documents/87730/39710850/DPSSCircular.pdf,RBI_2024-25_93_CO_DPSS_POLC_No_S908_02-14-003_2024-25_20250107221105.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2024-25_93_CO_DPSS_POLC_No_S908_02-14-003_2024-25_20250107221105.pdf,2025-01-07 22:11:05,2025-01-07 22:11:05,2025-01-07 22:11:05
"Implementation of Section 51A of UAPA,1967: Updates to UNSC’s 1267/ 1989 ISIL (Da'esh) & Al-Qaida Sanctions List: Amendments in 03 Entries","Dec 04, 2024",https://website.rbi.org.in/web/rbi/-/notifications/implementation-of-section-51a-of-uapa-1967-updates-to-unsc-s-1267/-1989-isil-da-esh-al-qaida-sanctions-list-amendments-in-03-entries,RBI/2024-25/92 DOR. AML.REC.50 /14.06.001/2024-25,https://website.rbi.org.in/documents/87730/39710850/CircularImplementationofSection51AofUAPA1967.pdf,RBI_2024-25_92_DOR_AML_REC_50_14_06_001_2024-25_20250107221111.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2024-25_92_DOR_AML_REC_50_14_06_001_2024-25_20250107221111.pdf,2025-01-07 22:11:11,2025-01-07 22:11:11,2025-01-07 22:11:11
Inoperative Accounts / Unclaimed Deposits in banks,"Dec 02, 2024",https://website.rbi.org.in/web/rbi/-/notifications/inoperative-accounts-/-unclaimed-deposits-in-banks,RBI/2024-25/91 DoS.CO.PPG.SEC.12/11.01.005/2024-25,https://website.rbi.org.in/documents/87730/39710850/SupervisorycircularonInoperativeAccounts_02Dec2024final.pdf,RBI_2024-25_91_DoS_CO_PPG_SEC_12_11_01_005_2024-25_20250107221117.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2024-25_91_DoS_CO_PPG_SEC_12_11_01_005_2024-25_20250107221117.pdf,2025-01-07 22:11:17,2025-01-07 22:11:17,2025-01-07 22:11:17
"Foreign Exchange Management (Foreign Currency Accounts by a Person Resident in India) (Fourth Amendment) Regulations, 2024","Nov 19, 2024",https://website.rbi.org.in/web/rbi/-/notifications/foreign-exchange-management-foreign-currency-accounts-by-a-person-resident-in-india-fourth-amendment-regulations-2024,Notification No. FEMA 10 (R)/(4)/2024-RB,https://website.rbi.org.in/documents/87730/39710850/Amendment+Notification_FEMA+10%28R%29+-+R+%284%29.pdf,Notification_No_FEMA_10_R_4_2024-RB_20250107221121.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsNotification_No_FEMA_10_R_4_2024-RB_20250107221121.pdf,2025-01-07 22:11:21,2025-01-07 22:11:21,2025-01-07 22:11:21
Operational framework for reclassification of Foreign Portfolio Investment to Foreign Direct Investment (FDI),"Nov 11, 2024",https://website.rbi.org.in/web/rbi/-/notifications/operational-framework-for-reclassification-of-foreign-portfolio-investment-to-foreign-direct-investment-fdi-,"RBI/2024-25/90 November 11, 2024 A.P. (DIR Series) Circular No. 19 To All Category – I Authorised Dealer Banks Madam / Sir Operational framework for reclassification of Foreign Portfolio Investment to Foreign Direct Investment (FDI) Attention of Authorised Dealer (AD) Category - I banks is invited to the Foreign Exchange Management (Non-debt Instruments) Rules, 2019, (hereinafter referred to as ‘Rules’) notified by the Central Government on",https://website.rbi.org.in/documents/87730/39710850/Operational+framework+for+reclassification+of+Foreign+Portfolio+Investment+to+Foreign+Direct+Investment+%28FDI%29.pdf,RBI_2024-25_90_November_11_2024_A_P_DIR_Series_Circular_No_19_To_All_Category_I_Authorised_Dealer_Ba_20250107221130.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2024-25_90_November_11_2024_A_P_DIR_Series_Circular_No_19_To_All_Category_I_Authorised_Dealer_Ba_20250107221130.pdf,2025-01-07 22:11:30,2025-01-07 22:11:30,2025-01-07 22:11:30
Reporting of Foreign Exchange Transactions to Trade Repository,"Nov 08, 2024",https://website.rbi.org.in/web/rbi/-/notifications/reporting-of-foreign-exchange-transactions-to-trade-repository,"RBI/2024-25/89 FMRD.MIOD.07/02.05.002/2024-25 November 08, 2024 To, All Authorised Dealers Madam/Sir, Reporting of Foreign Exchange Transactions to Trade Repository Please refer to the Master Direction – Risk Management and Inter-Bank Dealings dated",https://website.rbi.org.in/documents/87730/39710850/Directions+-+Reporting+of+Foreign+Exchange+transactions+to+trade+repository_.pdf,RBI_2024-25_89_FMRD_MIOD_07_02_05_002_2024-25_November_08_2024_To_All_Authorised_Dealers_Madam_Sir_R_20250107221133.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2024-25_89_FMRD_MIOD_07_02_05_002_2024-25_November_08_2024_To_All_Authorised_Dealers_Madam_Sir_R_20250107221133.pdf,2025-01-07 22:11:33,2025-01-07 22:11:33,2025-01-07 22:11:33
‘Fully Accessible Route’ for Investment by Non-residents in Government Securities – Inclusion of Sovereign Green Bonds,"Nov 07, 2024",https://website.rbi.org.in/web/rbi/-/notifications/fully-accessible-route-for-investment-by-non-residents-in-government-securities-inclusion-of-sovereign-green-bonds,"RBI/2024-25/88 FMRD.FMD.No. 06/14.01.006/2024-25 November 07, 2024 To All participants in Government Securities market Madam/Sir, ‘Fully Accessible Route’ for Investment by Non-residents in Government Securities – Inclusion of Sovereign Green Bonds A reference is invited to the Press Release on ‘Issuance Calendar for Marketable Dated Securities for October 2024 -",https://website.rbi.org.in/documents/87730/39710850/%E2%80%98Fully+Accessible+Route%E2%80%99+for+Investment+by+Non-residents+in+Government+Securities+%E2%80%93+Inclusion+of+Sovereign+Green+Bonds.pdf,RBI_2024-25_88_FMRD_FMD_No_06_14_01_006_2024-25_November_07_2024_To_All_participants_in_Government_S_20250107221137.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2024-25_88_FMRD_FMD_No_06_14_01_006_2024-25_November_07_2024_To_All_participants_in_Government_S_20250107221137.pdf,2025-01-07 22:11:37,2025-01-07 22:11:37,2025-01-07 22:11:37
"Amendment to the Master Direction - Know Your Customer (KYC) Direction, 2016","Nov 06, 2024",https://website.rbi.org.in/web/rbi/-/amendment-to-the-master-direction-know-your-customer-kyc-direction-2016,RBI/2024-2025/87 DOR.AML.REC. 49 /14.01.001/2024-25,https://website.rbi.org.in/documents/87730/39710850/KYCCircularNovember62024.pdf,RBI_2024-2025_87_DOR_AML_REC_49_14_01_001_2024-25_20250107221142.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2024-2025_87_DOR_AML_REC_49_14_01_001_2024-25_20250107221142.pdf,2025-01-07 22:11:42,2025-01-07 22:11:42,2025-01-07 22:11:42
Note Sorting Machines: Standards issued by the Bureau of Indian Standards,"Oct 30, 2024",https://website.rbi.org.in/web/rbi/-/notifications/note-sorting-machines-standards-issued-by-the-bureau-of-indian-standards,RBI/2024-2025/86 DCM (NPD) No. S2193/ 09.45.000/ 2024-25,https://website.rbi.org.in/documents/87730/39710850/CircularNSMDCMCO301024.pdf,RBI_2024-2025_86_DCM_NPD_No_S2193_09_45_000_2024-25_20250107221148.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2024-2025_86_DCM_NPD_No_S2193_09_45_000_2024-25_20250107221148.pdf,2025-01-07 22:11:48,2025-01-07 22:11:48,2025-01-07 22:11:48
Directions for Central Counterparties (CCPs),"Oct 28, 2024",https://website.rbi.org.in/web/rbi/-/notifications/directions-for-central-counterparties-ccps-,RBI/2024-2025/85 DPSS.CO.RLVPD.No.S789/02.07.038/2024-25,https://website.rbi.org.in/documents/87730/39710850/FinalDirectionsforCentralCounterpartiesOct2024.pdf,RBI_2024-2025_85_DPSS_CO_RLVPD_No_S789_02_07_038_2024-25_20250107221154.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2024-2025_85_DPSS_CO_RLVPD_No_S789_02_07_038_2024-25_20250107221154.pdf,2025-01-07 22:11:54,2025-01-07 22:11:54,2025-01-07 22:11:54
"Designation of one organisation under Section 35(1) (a) and 2(1) (m) of the Unlawful Activities (Prevention) Act,1967 and its listing in the First Schedule of the Act- Reg.","Oct 19, 2024",https://website.rbi.org.in/web/rbi/-/notifications/designation-of-one-organisation-under-section-35-1-a-and-2-1-m-of-the-unlawful-activities-prevention-act-1967-and-its-listing-in-the-first-schedule-of-the-act,RBI/2024-25/84 DOR.AML.REC.48/14.06.001/2024-25,https://website.rbi.org.in/documents/87730/39710850/UnlawfulActivitiesPreventionAct1967.pdf,RBI_2024-25_84_DOR_AML_REC_48_14_06_001_2024-25_20250107221209.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2024-25_84_DOR_AML_REC_48_14_06_001_2024-25_20250107221209.pdf,2025-01-07 22:12:09,2025-01-07 22:12:09,2025-01-07 22:12:09
Facilitating accessibility to digital payment systems for Persons with Disabilities - Guidelines,"Oct 11, 2024",https://website.rbi.org.in/web/rbi/-/notifications/facilitating-accessibility-to-digital-payment-systems-for-persons-with-disabilities-guidelines,"RBI/2024-25/83 CO.DPSS.POLC.No. S-708 / 02-12-004 / 2024-25 October 11, 2024 All Payment System Participants Madam / Dear Sir, Facilitating accessibility to digital payment systems for Persons with Disabilities - Guidelines A reference is invited to Reserve Bank’s Master Circular on Customer Service in Banks dated July 01, 2015, which, among other things, contains instructions for scheduled commercial banks to ensure banking services for Persons with Disabilities. In this context, reference is also invited to ‘Accessibility Standards and Guidelines for Banking Sector’ as notified by the Ministry of Finance, Government of India on",https://website.rbi.org.in/documents/87730/39710850/Facilitating+accessibility+to+digital+payment+systems+for+Persons+with+Disabilities+-+Guidelines.pdf,RBI_2024-25_83_CO_DPSS_POLC_No_S-708_02-12-004_2024-25_October_11_2024_All_Payment_System_Participan_20250107221215.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2024-25_83_CO_DPSS_POLC_No_S-708_02-12-004_2024-25_October_11_2024_All_Payment_System_Participan_20250107221215.pdf,2025-01-07 22:12:15,2025-01-07 22:12:15,2025-01-07 22:12:15
Submission of information to Credit Information Companies (CICs) by ARCs,"Oct 10, 2024",https://website.rbi.org.in/web/rbi/-/notifications/submission-of-information-to-credit-information-companies-cics-by-arcs,RBI/2024-25/82 DoR.FIN.REC.No. 46/26.03.001/2024-25,https://website.rbi.org.in/documents/87730/39710850/Submission+of+information+to+Credit+Information+Companies+%28CICs%29+by+ARCs.pdf,RBI_2024-25_82_DoR_FIN_REC_No_46_26_03_001_2024-25_20250107221218.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2024-25_82_DoR_FIN_REC_No_46_26_03_001_2024-25_20250107221218.pdf,2025-01-07 22:12:18,2025-01-07 22:12:18,2025-01-07 22:12:18
Implementation of Credit Information Reporting Mechanism subsequent to cancellation of licence or Certificate of Registration,"Oct 10, 2024",https://website.rbi.org.in/web/rbi/-/notifications/implementation-of-credit-information-reporting-mechanism-subsequent-to-cancellation-of-licence-or-certificate-of-registration-1,RBI/2024-25/81 DoR.FIN.REC. 47/20.16.042/2024-25,https://website.rbi.org.in/documents/87730/39710850/Circular+Implementation+of+Credit+Information+Reporting+subsequent+to+cancellation+of+licence+or+CoR.pdf,RBI_2024-25_81_DoR_FIN_REC_47_20_16_042_2024-25_20250107221225.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2024-25_81_DoR_FIN_REC_47_20_16_042_2024-25_20250107221225.pdf,2025-01-07 22:12:25,2025-01-07 22:12:25,2025-01-07 22:12:25
Interest Equalization Scheme (IES) on Pre and Post Shipment Rupee Export Credit,"Oct 09, 2024",https://website.rbi.org.in/web/rbi/-/notifications/interest-equalization-scheme-ies-on-pre-and-post-shipment-rupee-export-credit-3,"RBI/2024-25/80<br> DOR.STR.REC.45/04.02.001/2024-25 
                    &nbsp;",https://website.rbi.org.in/documents/87730/39710850/IES+Extension+October+09+circular_pdf.pdf,RBI_2024-25_80_br_DOR_STR_REC_45_04_02_001_2024-25_nbsp__20250107221230.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2024-25_80_br_DOR_STR_REC_45_04_02_001_2024-25_nbsp__20250107221230.pdf,2025-01-07 22:12:30,2025-01-07 22:12:30,2025-01-07 22:12:30
Due diligence in relation to non-resident guarantees availed by persons resident in India,"Oct 04, 2024",https://website.rbi.org.in/web/rbi/-/notifications/due-diligence-in-relation-to-non-resident-guarantees-availed-by-persons-resident-in-india,RBI/2024-25/79&nbsp; A.P. (DIR Series) Circular No. 18,https://website.rbi.org.in/documents/87730/39710850/APDIR1886DDEC299F994B3DAB7B83E0B4842AED.pdf,RBI_2024-25_79_nbsp_A_P_DIR_Series_Circular_No_18_20250107221232.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2024-25_79_nbsp_A_P_DIR_Series_Circular_No_18_20250107221232.pdf,2025-01-07 22:12:32,2025-01-07 22:12:32,2025-01-07 22:12:32
"Directions - Compounding of Contraventions under FEMA, 1999","Oct 01, 2024",https://website.rbi.org.in/web/rbi/-/notifications/directions-compounding-of-contraventions-under-fema-1999,RBI/FED/2024-25/78 A.P. (DIR Series) Circular. No.17/2024-25,https://website.rbi.org.in/documents/87730/39710850/APDircircularDirectionsoncompoundingFEMA1999.pdf,RBI_FED_2024-25_78_A_P_DIR_Series_Circular_No_17_2024-25_20250107221235.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_FED_2024-25_78_A_P_DIR_Series_Circular_No_17_2024-25_20250107221235.pdf,2025-01-07 22:12:35,2025-01-07 22:12:35,2025-01-07 22:12:35
Gold loans - Irregular practices observed in grant of loans against pledge of gold ornaments and jewellery,"Sep 30, 2024",https://website.rbi.org.in/web/rbi/-/notifications/gold-loans-irregular-practices-observed-in-grant-of-loans-against-pledge-of-gold-ornaments-and-jewellery,RBI/2024-25/77 DoS.CO.PPG.SEC.10/11.01.005/2024-25,https://website.rbi.org.in/documents/87730/39710850/CircularonGoldLoans30Sep.pdf,RBI_2024-25_77_DoS_CO_PPG_SEC_10_11_01_005_2024-25_20250107221239.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2024-25_77_DoS_CO_PPG_SEC_10_11_01_005_2024-25_20250107221239.pdf,2025-01-07 22:12:39,2025-01-07 22:12:39,2025-01-07 22:12:39
Interest Equalization Scheme (IES) on Pre and Post Shipment Rupee Export Credit,"Sep 20, 2024",https://website.rbi.org.in/web/rbi/-/notifications/interest-equalization-scheme-ies-on-pre-and-post-shipment-rupee-export-credit-2,"RBI/2024-25/76 DOR.STR.REC.44/04.02.001/2024-25 September 20, 2024 All Scheduled Commercial Banks (excluding RRBs), Primary (Urban) Cooperative Banks &amp; State Cooperative Banks (scheduled banks having AD category-I license), and Exim Bank Madam/ Sir, Interest Equalization Scheme (IES) on Pre and Post Shipment Rupee Export Credit Please refer to the instructions issued vide circular No.DOR.STR.REC.41/04.02.001/2024-25 dated",https://website.rbi.org.in/documents/87730/39710850/Circular+on+Interest+Equialization+Scheme+%282%29.pdf,RBI_2024-25_76_DOR_STR_REC_44_04_02_001_2024-25_September_20_2024_All_Scheduled_Commercial_Banks_exc_20250107221243.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2024-25_76_DOR_STR_REC_44_04_02_001_2024-25_September_20_2024_All_Scheduled_Commercial_Banks_exc_20250107221243.pdf,2025-01-07 22:12:43,2025-01-07 22:12:43,2025-01-07 22:12:43
"Implementation of Section 12A of the Weapons of Mass Destruction and their Delivery Systems (Prohibition of Unlawful Activities) Act, 2005: Designated List (Amendments)","Sep 19, 2024",https://website.rbi.org.in/web/rbi/-/notifications/implementation-of-section-12a-of-the-weapons-of-mass-destruction-and-their-delivery-systems-prohibition-of-unlawful-activities-act-2005-designated-list-amendments-2,"RBI/2024-25/75 DOR.AML.REC.43/14.06.001/2024-25 September 19, 2024 The Chairpersons/ CEOs of all the Regulated Entities Madam/Dear Sir, Implementation of Section 12A of the Weapons of Mass Destruction and their Delivery Systems (Prohibition of Unlawful Activities) Act, 2005: Designated List (Amendments) Please refer to Section 52 of our Master Direction on Know Your Customer dated February 25, 2016 as amended on",https://website.rbi.org.in/documents/87730/39710850/NT75CA5072A1B04B45E6AB2600D8625436C4.pdf,RBI_2024-25_75_DOR_AML_REC_43_14_06_001_2024-25_September_19_2024_The_Chairpersons_CEOs_of_all_the_R_20250107221248.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2024-25_75_DOR_AML_REC_43_14_06_001_2024-25_September_19_2024_The_Chairpersons_CEOs_of_all_the_R_20250107221248.pdf,2025-01-07 22:12:48,2025-01-07 22:12:48,2025-01-07 22:12:48
Liberalised Remittance Scheme (LRS) for Resident Individuals- Discontinuation of Reporting of monthly return,"Sep 06, 2024",https://website.rbi.org.in/web/rbi/-/notifications/liberalised-remittance-scheme-lrs-for-resident-individuals-discontinuation-of-reporting-of-monthly-return,RBI/2024-25/74,https://website.rbi.org.in/documents/87730/39710850/NOT74202425.pdf,RBI_2024-25_74_20250107221259.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2024-25_74_20250107221259.pdf,2025-01-07 22:12:59,2025-01-07 22:12:59,2025-01-07 22:12:59
Review of Extant Instructions – Withdrawal of Circulars,"Sep 02, 2024",https://website.rbi.org.in/web/rbi/-/review-of-extant-instructions-withdrawal-of-circulars,RBI/2024-25/73<br> CO.FIDD.PCD.BC.No.9/04-04-003/2024-25,https://website.rbi.org.in/documents/87730/39710850/NOTI7325C3BDCB7FDD4984B32767AAC4EAEF30.pdf,RBI_2024-25_73_br_CO_FIDD_PCD_BC_No_9_04-04-003_2024-25_20250107221306.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2024-25_73_br_CO_FIDD_PCD_BC_No_9_04-04-003_2024-25_20250107221306.pdf,2025-01-07 22:13:06,2025-01-07 22:13:06,2025-01-07 22:13:06
Scheme for Trading and Settlement of Sovereign Green Bonds in the International Financial Services Centre in India,"Aug 29, 2024",https://website.rbi.org.in/web/rbi/-/notifications/scheme-for-trading-and-settlement-of-sovereign-green-bonds-in-the-international-financial-services-centre-in-india,"RBI/2024-25/72 CO.FMRD.FMIA.No.S242/11-01-051/2024-2025 August 29, 2024 To All Eligible Market Participants Madam / Sir Scheme for Trading and Settlement of Sovereign Green Bonds in the International Financial Services Centre in India Please refer to Paragraph 1 of the Statement on Developmental and Regulatory Policies announced as a part of the Bi-monthly Monetary Policy Statement for 2024-25 dated",https://website.rbi.org.in/documents/87730/39710850/SGBNotification29082024.pdf,RBI_2024-25_72_CO_FMRD_FMIA_No_S242_11-01-051_2024-2025_August_29_2024_To_All_Eligible_Market_Partic_20250107221309.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2024-25_72_CO_FMRD_FMIA_No_S242_11-01-051_2024-2025_August_29_2024_To_All_Eligible_Market_Partic_20250107221309.pdf,2025-01-07 22:13:09,2025-01-07 22:13:09,2025-01-07 22:13:09
